id,level,deck,number,japanese,reading,meaning,kanji_note,example,example_ko,source
EXTRA-017,추가,1,17,頭痛,ずつう,두통,頭 머리 두 / 痛 아플 통,朝（あさ）から頭痛（ずつう）がします。,아침부터 두통이 있습니다.,JLPT_enki_to_fuku_vocab.md
EXTRA-018,추가,1,18,図,ず,"그림, 도표",図 그림 도,この図（ず）を見（み）てください。,이 그림/도표를 봐 주세요.,JLPT_enki_to_fuku_vocab.md
EXTRA-019,추가,1,19,成績,せいせき,성적,"成=이룰 성, 績=공적 적(糸); 쌓아 올린 결과; [최근] 품사: 명사",成績（せいせき）が上（あ）がりました。,성적이 올랐습니다.,JLPT_enki_to_fuku_vocab.md; JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-020,추가,1,20,税金,ぜいきん,세금,税 세금 세 / 金 쇠 금,税金（ぜいきん）を払（はら）います。,세금을 냅니다.,JLPT_enki_to_fuku_vocab.md
EXTRA-021,추가,1,21,想像,そうぞう,상상,想 생각 상 / 像 형상 상,未来（みらい）を想像（そうぞう）します。,미래를 상상합니다.,JLPT_enki_to_fuku_vocab.md
EXTRA-022,추가,1,22,手段,しゅだん,"수단, 방법",手 손 수 / 段 계단 단,他（ほか）の手段（しゅだん）を考（かんが）えます。,다른 수단을 생각합니다.,JLPT_enki_to_fuku_vocab.md
EXTRA-023,추가,1,23,指定,してい,지정,指 가리킬 지 / 定 정할 정,指定（してい）された席（せき）に座（すわ）ります。,지정된 자리에 앉습니다.,JLPT_enki_to_fuku_vocab.md
EXTRA-024,추가,1,24,停電,ていでん,정전,停 머무를 정 / 電 번개 전,昨日（きのう）、停電（ていでん）がありました。,어제 정전이 있었습니다.,JLPT_enki_to_fuku_vocab.md
EXTRA-025,추가,1,25,伝言,でんごん,"전언, 전달 메시지",伝 전할 전 / 言 말씀 언,母（はは）に伝言（でんごん）を残（のこ）しました。,어머니에게 전언을 남겼습니다.,JLPT_enki_to_fuku_vocab.md
EXTRA-026,추가,1,26,独立,どくりつ,독립,独 홀로 독 / 立 설 립,その国（くに）は独立（どくりつ）しました。,그 나라는 독립했습니다.,JLPT_enki_to_fuku_vocab.md
EXTRA-027,추가,1,27,努力,どりょく,노력,努 힘쓸 노 / 力 힘 력,努力（どりょく）が必要（ひつよう）です。,노력이 필요합니다.,JLPT_enki_to_fuku_vocab.md
EXTRA-028,추가,1,28,配達,はいたつ,배달,配 나눌 배 / 達 통달할 달,荷物（にもつ）を配達（はいたつ）します。,짐을 배달합니다.,JLPT_enki_to_fuku_vocab.md
EXTRA-029,추가,1,29,順番,じゅんばん,"순번, 차례",順 순할 순 / 番 차례 번,順番（じゅんばん）を待（ま）ちます。,순서를 기다립니다.,JLPT_enki_to_fuku_vocab.md
EXTRA-030,추가,1,30,消費,しょうひ,소비,消 사라질 소 / 費 쓸 비,電気（でんき）を消費（しょうひ）します。,전기를 소비합니다.,JLPT_enki_to_fuku_vocab.md
EXTRA-031,추가,1,31,秒,びょう,초,秒 초 초,十秒（じゅうびょう）待（ま）ってください。,10초 기다려 주세요.,JLPT_enki_to_fuku_vocab.md
EXTRA-032,추가,1,32,割引,わりびき,할인,割 나눌 할 / 引 끌 인,この店（みせ）は割引（わりびき）があります。,이 가게는 할인이 있습니다.,JLPT_enki_to_fuku_vocab.md
EXTRA-033,추가,1,33,郵便,ゆうびん,우편,郵 우편 우 / 便 편할 편,郵便（ゆうびん）が届（とど）きました。,우편이 도착했습니다.,JLPT_enki_to_fuku_vocab.md
EXTRA-034,추가,1,34,発表,はっぴょう,발표,発 필 발 / 表 겉 표,明日（あした）、発表（はっぴょう）があります。,내일 발표가 있습니다.,JLPT_enki_to_fuku_vocab.md
EXTRA-035,추가,1,35,部分,ぶぶん,부분,部 떼 부 / 分 나눌 분,この部分（ぶぶん）を読（よ）んでください。,이 부분을 읽어 주세요.,JLPT_enki_to_fuku_vocab.md
EXTRA-036,추가,1,36,分類,ぶんるい,분류,分 나눌 분 / 類 무리 류,資料（しりょう）を分類（ぶんるい）します。,자료를 분류합니다.,JLPT_enki_to_fuku_vocab.md
EXTRA-037,추가,1,37,変化,へんか,변화,変 변할 변 / 化 될 화,天気（てんき）が変化（へんか）しました。,날씨가 변했습니다.,JLPT_enki_to_fuku_vocab.md
EXTRA-038,추가,1,38,区別,くべつ,구별,区 구역 구 / 別 다를 별,二（ふた）つの意味（いみ）を区別（くべつ）します。,두 의미를 구별합니다.,JLPT_enki_to_fuku_vocab.md
EXTRA-039,추가,1,39,平和,へいわ,평화,平 평평할 평 / 和 화할 화,平和（へいわ）が一番（いちばん）大切（たいせつ）です。,평화가 가장 중요합니다.,JLPT_enki_to_fuku_vocab.md
EXTRA-040,추가,1,40,貿易,ぼうえき,무역,貿 바꿀 무 / 易 바꿀 역,韓国（かんこく）は多（おお）くの国（くに）と貿易（ぼうえき）しています。,한국은 많은 나라와 무역하고 있습니다.,JLPT_enki_to_fuku_vocab.md
EXTRA-041,추가,1,41,楽器,がっき,악기,"楽=음악 악, 器=그릇 기; 음악 도구; [최근] 품사: 명사",ギターは人気（にんき）の楽器（がっき）です。,기타는 인기 있는 악기입니다.,JLPT_enki_to_fuku_vocab.md; JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-042,추가,1,42,出張,しゅっちょう,출장,出 날 출 / 張 베풀 장,来週（らいしゅう）、東京（とうきょう）へ出張（しゅっちょう）します。,다음 주 도쿄로 출장 갑니다.,JLPT_enki_to_fuku_vocab.md
EXTRA-043,추가,1,43,接近,せっきん,접근,接 이을 접 / 近 가까울 근,台風（たいふう）が接近（せっきん）しています。,태풍이 접근하고 있습니다.,JLPT_enki_to_fuku_vocab.md
EXTRA-044,추가,1,44,熱心,ねっしん,"열심, 열성적",熱 더울 열 / 心 마음 심,彼（かれ）は日本語（にほんご）を熱心（ねっしん）に勉強（べんきょう）しています。,그는 일본어를 열심히 공부하고 있습니다.,JLPT_enki_to_fuku_vocab.md
EXTRA-045,추가,1,45,食器,しょっき,식기,食 먹을 식 / 器 그릇 기,食器（しょっき）を洗（あら）います。,식기를 씻습니다.,JLPT_enki_to_fuku_vocab.md
EXTRA-046,추가,1,46,共通,きょうつう,공통,"共=함께 공, 通=통할 통(辶); 함께 통하는 점",私（わたし）たちは共通（きょうつう）の友（とも）だちがいます。,우리는 공통의 친구가 있습니다.,JLPT_enki_to_fuku_vocab.md; JLPT_after_MD_vocab_collection_7_1.md
EXTRA-047,추가,1,47,交通,こうつう,교통,交 사귈 교 / 通 통할 통,この町（まち）は交通（こうつう）が便利（べんり）です。,이 마을은 교통이 편리합니다.,JLPT_enki_to_fuku_vocab.md
EXTRA-048,추가,1,48,事情,じじょう,"사정, 상황, 배경 이유",事 일 사 / 情 뜻 정,事情（じじょう）があって、行（い）けません。,사정이 있어서 갈 수 없습니다.,JLPT_enki_to_fuku_vocab.md
EXTRA-049,추가,1,49,早退,そうたい,조퇴,早 이를 조 / 退 물러날 퇴,体調（たいちょう）が悪（わる）くて早退（そうたい）しました。,몸 상태가 안 좋아서 조퇴했습니다.,JLPT_enki_to_fuku_vocab.md
EXTRA-050,추가,1,50,朝刊,ちょうかん,"조간, 아침 신문",朝 아침 조 / 刊 새길 간,朝刊（ちょうかん）を読（よ）みます。,조간신문을 읽습니다.,JLPT_enki_to_fuku_vocab.md
EXTRA-051,추가,2,51,到着,とうちゃく,도착,到 이를 도 / 着 붙을 착,電車（でんしゃ）が到着（とうちゃく）しました。,전철이 도착했습니다.,JLPT_enki_to_fuku_vocab.md
EXTRA-052,추가,2,52,流行,りゅうこう,유행,"流=흐를 류(氵), 行=갈 행; 흐르듯 퍼져 감",この服（ふく）が流行（りゅうこう）しています。,이 옷이 유행하고 있습니다.,JLPT_enki_to_fuku_vocab.md; JLPT_after_MD_vocab_collection_7_1.md
EXTRA-053,추가,2,53,応用,おうよう,응용,応 응할 응 / 用 쓸 용,勉強（べんきょう）したことを応用（おうよう）します。,공부한 것을 응용합니다.,JLPT_enki_to_fuku_vocab.md
EXTRA-054,추가,2,54,興味,きょうみ,흥미,興 일 흥 / 味 맛 미,日本語（にほんご）に興味（きょうみ）があります。,일본어에 흥미가 있습니다.,JLPT_enki_to_fuku_vocab.md
EXTRA-055,추가,2,55,広告,こうこく,광고,広 넓을 광 / 告 알릴 고,テレビで広告（こうこく）を見（み）ました。,TV에서 광고를 봤습니다.,JLPT_enki_to_fuku_vocab.md
EXTRA-056,추가,2,56,合流,ごうりゅう,합류,合 합할 합 / 流 흐를 류,駅（えき）で友（とも）だちと合流（ごうりゅう）します。,역에서 친구와 합류합니다.,JLPT_enki_to_fuku_vocab.md
EXTRA-057,추가,2,57,主要,しゅよう,"주요, 주요한",主 주인 주 / 要 요긴할 요,これは主要（しゅよう）な問題（もんだい）です。,이것은 주요한 문제입니다.,JLPT_enki_to_fuku_vocab.md
EXTRA-058,추가,2,58,商業,しょうぎょう,상업,商 장사 상 / 業 업 업,この町（まち）は商業（しょうぎょう）が盛（さか）んです。,이 마을은 상업이 활발합니다.,JLPT_enki_to_fuku_vocab.md
EXTRA-059,추가,2,59,送信,そうしん,"송신, 전송",送 보낼 송 / 信 믿을 신,メールを送信（そうしん）します。,메일을 전송합니다.,JLPT_enki_to_fuku_vocab.md
EXTRA-060,추가,2,60,調査,ちょうさ,조사,"調=조사할 조(言), 査=조사할 사; 묻고 살핌",アンケート調査（ちょうさ）をします。,설문 조사를 합니다.,JLPT_enki_to_fuku_vocab.md; JLPT_after_MD_vocab_collection_7_1.md
EXTRA-061,추가,2,61,方向,ほうこう,방향,"方=방향 방, 向=향할 향; 향해 가는 쪽; [최근] 품사: 명사",駅（えき）の方向（ほうこう）へ歩（ある）きます。,역 방향으로 걷습니다.,JLPT_enki_to_fuku_vocab.md; JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-062,추가,2,62,平均,へいきん,평균,平 평평할 평 / 均 고를 균,クラスの平均（へいきん）点（てん）は高（たか）いです。,반 평균 점수는 높습니다.,JLPT_enki_to_fuku_vocab.md
EXTRA-063,추가,2,63,呼吸,こきゅう,호흡,呼 부를 호 / 吸 들이마실 흡,深（ふか）く呼吸（こきゅう）します。,깊게 호흡합니다.,JLPT_enki_to_fuku_vocab.md
EXTRA-064,추가,2,64,命令,めいれい,명령,命 목숨 명 / 令 명령할 령,先生（せんせい）の命令（めいれい）を聞（き）きます。,선생님의 명령을 듣습니다.,JLPT_enki_to_fuku_vocab.md
EXTRA-065,추가,2,65,集中,しゅうちゅう,집중,集 모을 집 / 中 가운데 중,勉強（べんきょう）に集中（しゅうちゅう）します。,공부에 집중합니다.,JLPT_enki_to_fuku_vocab.md
EXTRA-066,추가,2,66,就職,しゅうしょく,취직,就 나아갈 취 / 職 직분 직,大学（だいがく）を出（で）て就職（しゅうしょく）します。,대학을 나와 취직합니다.,JLPT_enki_to_fuku_vocab.md
EXTRA-067,추가,2,67,駐車,ちゅうしゃ,주차,駐 머무를 주 / 車 수레 차,ここに駐車（ちゅうしゃ）しないでください。,여기에 주차하지 마세요.,JLPT_enki_to_fuku_vocab.md
EXTRA-068,추가,2,68,普通,ふつう,"보통, 일반적",普 널리 보 / 通 통할 통,普通（ふつう）は電車（でんしゃ）で行（い）きます。,보통은 전철로 갑니다.,JLPT_enki_to_fuku_vocab.md
EXTRA-069,추가,2,69,郵送,ゆうそう,"우송, 우편으로 보냄",郵 우편 우 / 送 보낼 송,書類（しょるい）を郵送（ゆうそう）します。,서류를 우송합니다.,JLPT_enki_to_fuku_vocab.md
EXTRA-070,추가,2,70,夫婦,ふうふ,부부,夫 지아비 부 / 婦 며느리 부,あの夫婦（ふうふ）は親切（しんせつ）です。,저 부부는 친절합니다.,JLPT_enki_to_fuku_vocab.md
EXTRA-071,추가,2,71,昼食,ちゅうしょく,"점심, 점심 식사",昼 낮 주 / 食 먹을 식,昼食（ちゅうしょく）を食（た）べます。,점심을 먹습니다.,JLPT_enki_to_fuku_vocab.md
EXTRA-072,추가,2,72,貯める,ためる,"모으다, 저축하다",貯 쌓을 저,お金（かね）を貯（た）めます。,돈을 모읍니다.,JLPT_enki_to_fuku_vocab.md
EXTRA-073,추가,2,73,集める,あつめる,"모으다, 수집하다",集 모을 집,切手（きって）を集（あつ）めます。,우표를 모읍니다.,JLPT_enki_to_fuku_vocab.md
EXTRA-074,추가,2,74,誰,だれ,누구,誰 누구 수,あの人（ひと）は誰（だれ）ですか。,저 사람은 누구입니까?,JLPT_enki_to_fuku_vocab.md
EXTRA-075,추가,2,75,負ける,まける,"지다, 패배하다",負 질 부,試合（しあい）に負（ま）けました。,시합에서 졌습니다.,JLPT_enki_to_fuku_vocab.md
EXTRA-076,추가,2,76,希望,きぼう,희망,希 바랄 희 / 望 바랄 망,将来（しょうらい）の希望（きぼう）があります。,장래의 희망이 있습니다.,JLPT_enki_to_fuku_vocab.md
EXTRA-077,추가,2,77,遅刻,ちこく,지각,遅 늦을 지 / 刻 새길 각,学校（がっこう）に遅刻（ちこく）しました。,학교에 지각했습니다.,JLPT_enki_to_fuku_vocab.md
EXTRA-078,추가,2,78,何,なに／なん,"무엇, 뭐",何 어찌 하,これは何（なん）ですか。,이것은 무엇입니까?,JLPT_enki_to_fuku_vocab.md
EXTRA-079,추가,2,79,絶対,ぜったい,절대,絶 끊을 절 / 対 대할 대,絶対（ぜったい）に忘（わす）れません。,절대로 잊지 않겠습니다.,JLPT_enki_to_fuku_vocab.md
EXTRA-080,추가,2,80,演奏,えんそう,연주,演 펼 연 / 奏 아뢸 주,ピアノを演奏（えんそう）します。,피아노를 연주합니다.,JLPT_enki_to_fuku_vocab.md
EXTRA-081,추가,2,81,彼,かれ,"그, 그 남자, 남자친구",彼 저 피,彼（かれ）は学生（がくせい）です。,그는 학생입니다.,JLPT_enki_to_fuku_vocab.md
EXTRA-082,추가,2,82,涼しい,すずしい,"선선하다, 시원하다",涼 서늘할 량,今日（きょう）は風（かぜ）が涼（すず）しいです。,오늘은 바람이 선선합니다.,JLPT_enki_to_fuku_vocab.md
EXTRA-083,추가,2,83,次第に,しだいに,"점점, 차츰","次=버금 차, 第=차례 제; 차례차례 진행",空（そら）が次第（しだい）に暗（くら）くなりました。,하늘이 점점 어두워졌습니다.,JLPT_enki_to_fuku_vocab.md; JLPT_after_MD_vocab_collection_7_1.md
EXTRA-084,추가,2,84,服,ふく,옷,服 옷 복,新（あたら）しい服（ふく）を買（か）いました。,새 옷을 샀습니다.,JLPT_enki_to_fuku_vocab.md
EXTRA-085,추가,2,85,休日,きゅうじつ,휴일,"休=쉴 휴, 日=날 일; 休는 亻+木 → 사람이 쉬는 느낌; [최근] 품사: 명사",,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-086,추가,2,86,下線,かせん,밑줄,"下=아래 하, 線=줄 선; 線은 糸(실) → 선/줄; [최근] 품사: 명사",,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-087,추가,2,87,様々だ,さまざまだ,여러 가지다,様=모양 양; 여러 모양으로 외우기; [최근] 품사: な형용사,,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-088,추가,2,88,様子,ようす,"상태, 상황, 모습","様=모양 양, 子=아들 자; 겉으로 보이는 모양/상태; [최근] 품사: 명사 · 전에 물어본 단어",,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-089,추가,2,89,大会,たいかい,대회,"大=클 대, 会=모일 회; 큰 모임; [최근] 품사: 명사",,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-090,추가,2,90,工業,こうぎょう,공업,"工=장인 공, 業=업 업; 만드는 산업; [최근] 품사: 명사",,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-091,추가,2,91,重大だ,じゅうだいだ,중대하다,"重=무거울 중, 大=클 대; 무게가 큰 일; [최근] 품사: な형용사",,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-092,추가,2,92,自然,しぜん,자연,"自=스스로 자, 然=그러할 연; 스스로 그러한 것; [최근] 품사: 명사 · 事前 じぜん과 발음 구분",,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-093,추가,2,93,加熱,かねつ,가열,"加=더할 가, 熱=더울 열; 열을 더함",,,JLPT_after_MD_vocab_collection_7_1.md
EXTRA-094,추가,2,94,参加,さんか,참가,"参=참여할 참, 加=더할 가; 사람들 속에 더해짐",,,JLPT_after_MD_vocab_collection_7_1.md
EXTRA-095,추가,2,95,支給,しきゅう,지급,"支=지탱할 지, 給=줄 급(糸); 필요한 것을 공급",,,JLPT_after_MD_vocab_collection_7_1.md
EXTRA-096,추가,2,96,卒業,そつぎょう,졸업,"卒=마칠 졸, 業=업 업; 학업을 마침",,,JLPT_after_MD_vocab_collection_7_1.md
EXTRA-097,추가,2,97,料金,りょうきん,요금,"料=재료 료, 金=쇠 금; 내야 하는 돈; [최근] 품사: 명사",,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-098,추가,2,98,検査,けんさ,검사,"検=검사할 검(木), 査=조사할 사(木); 살펴 확인",,,JLPT_after_MD_vocab_collection_7_1.md
EXTRA-099,추가,2,99,返事,へんじ,"대답, 답장","返=돌이킬 반(辶), 事=일 사; 말이 되돌아옴",,,JLPT_after_MD_vocab_collection_7_1.md
EXTRA-100,추가,2,100,祝日,しゅくじつ,"공휴일, 축일","祝=빌 축(礻), 日=날 일; 기념하는 날; [최근] 품사: 명사",,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-101,추가,3,101,選択,せんたく,선택,"選=가릴 선(辶), 択=가릴 택(扌); 골라 집음",,,JLPT_after_MD_vocab_collection_7_1.md
EXTRA-102,추가,3,102,冗談,じょうだん,농담,"冗=쓸데없을 용, 談=말씀 담(言); 장난스러운 말; [최근] 품사: 명사",,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-103,추가,3,103,相談,そうだん,"상담, 상의","相=서로 상, 談=말씀 담(言); 서로 말함",,,JLPT_after_MD_vocab_collection_7_1.md
EXTRA-104,추가,3,104,宣伝,せんでん,"선전, 홍보","宣=베풀 선, 伝=전할 전(亻); 널리 전함",,,JLPT_after_MD_vocab_collection_7_1.md
EXTRA-105,추가,3,105,商売,しょうばい,장사,"商=장사 상, 売=팔 매; 물건을 사고팖",,,JLPT_after_MD_vocab_collection_7_1.md
EXTRA-106,추가,3,106,方角,ほうがく,"방향, 방위","方=방향 방, 角=뿔 각; 동서남북 같은 방위; [최근] 품사: 명사",,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-107,추가,3,107,輸出,ゆしゅつ,수출,"輸=보낼 수(車), 出=날 출; 밖으로 실어 보냄",,,JLPT_after_MD_vocab_collection_7_1.md
EXTRA-108,추가,3,108,実力,じつりょく,실력,"実=열매 실, 力=힘 력; 실제 힘/능력; [최근] 품사: 명사",,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-109,추가,3,109,疑う,うたがう,의심하다,疑=의심할 의; 마음속에 의문을 품음,,,JLPT_after_MD_vocab_collection_7_1.md
EXTRA-110,추가,3,110,拾う,ひろう,줍다,拾=주울 습(扌); 손으로 집어 올림,,,JLPT_after_MD_vocab_collection_7_1.md
EXTRA-111,추가,3,111,払う,はらう,"지불하다, 내다",払=떨칠 불(扌); 돈을 내보냄,,,JLPT_after_MD_vocab_collection_7_1.md
EXTRA-112,추가,3,112,怖がる,こわがる,무서워하다,怖=두려울 포(忄); 마음이 두려워함,,,JLPT_after_MD_vocab_collection_7_1.md
EXTRA-113,추가,3,113,回す,まわす,돌리다,回=돌 회; 둥글게 돌리는 이미지,,,JLPT_after_MD_vocab_collection_7_1.md
EXTRA-114,추가,3,114,汚す,よごす,더럽히다,汚=더러울 오(氵); 오염시키다,,,JLPT_after_MD_vocab_collection_7_1.md
EXTRA-115,추가,3,115,転ぶ,ころぶ,넘어지다,転=구를 전(車); 굴러 넘어짐,,,JLPT_after_MD_vocab_collection_7_1.md
EXTRA-116,추가,3,116,運ぶ,はこぶ,"옮기다, 운반하다",運=운반할 운(辶); 물건을 이동시킴,,,JLPT_after_MD_vocab_collection_7_1.md
EXTRA-117,추가,3,117,結ぶ,むすぶ,"묶다, 맺다",結=맺을 결(糸); 실을 묶어 맺음,,,JLPT_after_MD_vocab_collection_7_1.md
EXTRA-118,추가,3,118,編む,あむ,"엮다, 짜다",編=엮을 편(糸); 실을 엮음,,,JLPT_after_MD_vocab_collection_7_1.md
EXTRA-119,추가,3,119,包む,つつむ,"싸다, 포장하다",包=쌀 포; 감싸는 모양,,,JLPT_after_MD_vocab_collection_7_1.md
EXTRA-120,추가,3,120,組む,くむ,"짜다, 조립하다, 팀을 이루다",組=짤 조(糸); 엮어 구조를 만듦,,,JLPT_after_MD_vocab_collection_7_1.md
EXTRA-121,추가,3,121,配る,くばる,나누어 주다,配=나눌 배; 여러 곳에 분배,,,JLPT_after_MD_vocab_collection_7_1.md
EXTRA-122,추가,3,122,叱る,しかる,"야단치다, 꾸짖다",叱=꾸짖을 질(口); 말로 꾸짖음,,,JLPT_after_MD_vocab_collection_7_1.md
EXTRA-123,추가,3,123,黙る,だまる,"말을 하지 않다, 입을 다물다",黙=잠잠할 묵(黑); 조용히 있음,,,JLPT_after_MD_vocab_collection_7_1.md
EXTRA-124,추가,3,124,割る,わる,"깨다, 나누다",割=나눌 할(刂); 잘라 나눔,,,JLPT_after_MD_vocab_collection_7_1.md
EXTRA-125,추가,3,125,覚える,おぼえる,"기억하다, 외우다",覚=깨달을 각(見); 알아차려 기억,,,JLPT_after_MD_vocab_collection_7_1.md
EXTRA-126,추가,3,126,換える／替える,かえる,"교환하다, 바꾸다","換=바꿀 환(扌), 替=바꿀 체; 바꿔 넣음",,,JLPT_after_MD_vocab_collection_7_1.md
EXTRA-127,추가,3,127,加える,くわえる,"더하다, 추가하다",加=더할 가; 무엇을 보탬,,,JLPT_after_MD_vocab_collection_7_1.md
EXTRA-128,추가,3,128,伝える,つたえる,"전하다, 전달하다",伝=전할 전(亻); 사람에게 전함,,,JLPT_after_MD_vocab_collection_7_1.md
EXTRA-129,추가,3,129,冷える,ひえる,차가워지다,冷=찰 냉(冫); 차게 됨,,,JLPT_after_MD_vocab_collection_7_1.md
EXTRA-130,추가,3,130,燃える,もえる,"타다, 불타다",燃=탈 연(火); 불에 탐,,,JLPT_after_MD_vocab_collection_7_1.md
EXTRA-131,추가,3,131,預ける,あずける,맡기다,預=맡길 예(頁); 맡겨 둠,,,JLPT_after_MD_vocab_collection_7_1.md
EXTRA-132,추가,3,132,助ける,たすける,"돕다, 구조하다",助=도울 조(力); 힘을 보탬,,,JLPT_after_MD_vocab_collection_7_1.md
EXTRA-133,추가,3,133,比べる,くらべる,비교하다,比=견줄 비; 나란히 두고 견줌,,,JLPT_after_MD_vocab_collection_7_1.md
EXTRA-134,추가,3,134,冷める,さめる,식다,冷=찰 냉(冫); 열기가 식음,,,JLPT_after_MD_vocab_collection_7_1.md
EXTRA-135,추가,3,135,現れる,あらわれる,나타나다,現=나타날 현(見); 보이게 됨,,,JLPT_after_MD_vocab_collection_7_1.md
EXTRA-136,추가,3,136,折れる,おれる,"부러지다, 꺾이다",折=꺾을 절(扌+斤); 꺾임,,,JLPT_after_MD_vocab_collection_7_1.md
EXTRA-137,추가,3,137,倒れる,たおれる,쓰러지다,倒=넘어질 도(亻); 사람이 넘어짐,,,JLPT_after_MD_vocab_collection_7_1.md
EXTRA-138,추가,3,138,泊まる,とまる,"묵다, 숙박하다",泊=머무를 박(氵+白); 머물러 밤을 보냄,,,JLPT_after_MD_vocab_collection_7_1.md
EXTRA-139,추가,3,139,確かに,たしかに,확실히,確=굳을 확(石); 돌처럼 확실; [최근] 품사: 부사,,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-140,추가,3,140,羨ましい,うらやましい,부럽다,羨=부러워할 선; 남의 좋은 것을 보고 끌림; [최근] 품사: い형용사,,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-141,추가,3,141,惜しい,おしい,아깝다,惜=아낄 석(忄+昔); 마음속으로 아까움; [최근] 품사: い형용사,,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-142,추가,3,142,恋しい,こいしい,그립다,恋=그리워할 련(心); 마음의 그리움; [최근] 품사: い형용사,,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-143,추가,3,143,悔しい,くやしい,분하다,悔=뉘우칠 회(忄); 후회/분한 감정; [최근] 품사: い형용사,,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-144,추가,3,144,親しい,したしい,친하다,親=친할 친(見 포함); 자주 보고 가까운 관계; [최근] 품사: い형용사 · 전에 물어본 단어,,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-145,추가,3,145,懐かしい,なつかしい,"그립다, 정겹다",懐=품을 회(忄); 옛 기억을 마음에 품음; [최근] 품사: い형용사 · 전에 물어본 단어,,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-146,추가,3,146,眩しい,まぶしい,눈부시다,眩=어지러울 현(目); 눈이 부심; [최근] 품사: い형용사,,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-147,추가,3,147,難しい,むずかしい,어렵다,難=어려울 난; 난이도와 연결해 암기; [최근] 품사: い형용사,,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-148,추가,3,148,浅い,あさい,얕다,浅=얕을 천(氵); 물 깊이가 낮음; [최근] 품사: い형용사,,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-149,추가,3,149,厚い,あつい,두껍다,厚=두터울 후(厂); 층이 두꺼움; [최근] 품사: い형용사 · 暑い/熱い와 구분,,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-150,추가,3,150,偉い,えらい,"훌륭하다, 지위가 높다",偉=훌륭할 위(亻); 사람이 뛰어남; [최근] 품사: い형용사,,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-151,추가,4,151,遅い,おそい,"늦다, 느리다",遅=늦을 지(辶); 진행이 늦음; [최근] 품사: い형용사,,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-152,추가,4,152,汚い,きたない,더럽다,汚=더러울 오(氵); 오염됨; [최근] 품사: い형용사,,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-153,추가,4,153,細い,ほそい,가늘다,細=가늘 세(糸); 실처럼 가늘다; [최근] 품사: い형용사,,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-154,추가,4,154,丸い,まるい,둥글다,丸=둥글 환; 둥근 모양; [최근] 품사: い형용사,,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
